Site	Data	WR	W	B	BR	y
EventGrandPrixThessaloniki	2013.05.22	2793	TopalovVeselin	GrischukAlexander	2779	0.5
EventGrandPrixThessaloniki	2013.05.22	2741	KamskyGata	DominguezPerezLeinier	2723	1
EventGrandPrixThessaloniki	2013.05.22	2742	PonomariovRuslan	CaruanaFabiano	2774	0.5
EventGrandPrixThessaloniki	2013.05.22	2755	IvanchukVassily	MorozevichAlexander	2760	0.5
EventGrandPrixThessaloniki	2013.05.22	2769	SvidlerPeter	BacrotEtienne	2725	1
EventGrandPrixThessaloniki	2013.05.22	2699	KasimdzhanovRustam	NakamuraHikaru	2775	1
EventGrandPrixThessaloniki	2013.05.23	2779	GrischukAlexander	NakamuraHikaru	2775	1
EventGrandPrixThessaloniki	2013.05.23	2725	BacrotEtienne	KasimdzhanovRustam	2699	0.5
EventGrandPrixThessaloniki	2013.05.23	2760	MorozevichAlexander	SvidlerPeter	2769	1
EventGrandPrixThessaloniki	2013.05.23	2774	CaruanaFabiano	IvanchukVassily	2755	1
EventGrandPrixThessaloniki	2013.05.23	2723	DominguezPerezLeinier	PonomariovRuslan	2742	0.5
EventGrandPrixThessaloniki	2013.05.23	2793	TopalovVeselin	KamskyGata	2741	0.5
EventGrandPrixThessaloniki	2013.05.24	2741	KamskyGata	GrischukAlexander	2779	0.5
EventGrandPrixThessaloniki	2013.05.24	2742	PonomariovRuslan	TopalovVeselin	2793	0.5
EventGrandPrixThessaloniki	2013.05.24	2755	IvanchukVassily	DominguezPerezLeinier	2723	0
EventGrandPrixThessaloniki	2013.05.24	2769	SvidlerPeter	CaruanaFabiano	2774	0.5
EventGrandPrixThessaloniki	2013.05.24	2699	KasimdzhanovRustam	MorozevichAlexander	2760	0.5
EventGrandPrixThessaloniki	2013.05.24	2775	NakamuraHikaru	BacrotEtienne	2725	0.5
EventGrandPrixThessaloniki	2013.05.25	2779	GrischukAlexander	BacrotEtienne	2725	0.5
EventGrandPrixThessaloniki	2013.05.25	2760	MorozevichAlexander	NakamuraHikaru	2775	0.5
EventGrandPrixThessaloniki	2013.05.25	2774	CaruanaFabiano	KasimdzhanovRustam	2699	0.5
EventGrandPrixThessaloniki	2013.05.25	2723	DominguezPerezLeinier	SvidlerPeter	2769	1
EventGrandPrixThessaloniki	2013.05.25	2793	TopalovVeselin	IvanchukVassily	2755	1
EventGrandPrixThessaloniki	2013.05.25	2741	KamskyGata	PonomariovRuslan	2742	0.5
EventGrandPrixThessaloniki	2013.05.27	2742	PonomariovRuslan	GrischukAlexander	2779	0.5
EventGrandPrixThessaloniki	2013.05.27	2755	IvanchukVassily	KamskyGata	2741	0.5
EventGrandPrixThessaloniki	2013.05.27	2769	SvidlerPeter	TopalovVeselin	2793	0.5
EventGrandPrixThessaloniki	2013.05.27	2699	KasimdzhanovRustam	DominguezPerezLeinier	2723	0
EventGrandPrixThessaloniki	2013.05.27	2775	NakamuraHikaru	CaruanaFabiano	2774	0.5
EventGrandPrixThessaloniki	2013.05.27	2725	BacrotEtienne	MorozevichAlexander	2760	0.5
EventGrandPrixThessaloniki	2013.05.28	2779	GrischukAlexander	MorozevichAlexander	2760	0.5
EventGrandPrixThessaloniki	2013.05.28	2774	CaruanaFabiano	BacrotEtienne	2725	1
EventGrandPrixThessaloniki	2013.05.28	2723	DominguezPerezLeinier	NakamuraHikaru	2775	0.5
EventGrandPrixThessaloniki	2013.05.28	2793	TopalovVeselin	KasimdzhanovRustam	2699	0.5
EventGrandPrixThessaloniki	2013.05.28	2741	KamskyGata	SvidlerPeter	2769	1
EventGrandPrixThessaloniki	2013.05.28	2742	PonomariovRuslan	IvanchukVassily	2755	1
EventGrandPrixThessaloniki	2013.05.29	2755	IvanchukVassily	GrischukAlexander	2779	0.5
EventGrandPrixThessaloniki	2013.05.29	2769	SvidlerPeter	PonomariovRuslan	2742	0.5
EventGrandPrixThessaloniki	2013.05.29	2699	KasimdzhanovRustam	KamskyGata	2741	0
EventGrandPrixThessaloniki	2013.05.29	2775	NakamuraHikaru	TopalovVeselin	2793	1
EventGrandPrixThessaloniki	2013.05.29	2725	BacrotEtienne	DominguezPerezLeinier	2723	0.5
EventGrandPrixThessaloniki	2013.05.29	2760	MorozevichAlexander	CaruanaFabiano	2774	0
EventGrandPrixThessaloniki	2013.05.30	2779	GrischukAlexander	CaruanaFabiano	2774	0.5
EventGrandPrixThessaloniki	2013.05.30	2723	DominguezPerezLeinier	MorozevichAlexander	2760	1
EventGrandPrixThessaloniki	2013.05.30	2793	TopalovVeselin	BacrotEtienne	2725	0
EventGrandPrixThessaloniki	2013.05.30	2741	KamskyGata	NakamuraHikaru	2775	1
EventGrandPrixThessaloniki	2013.05.30	2742	PonomariovRuslan	KasimdzhanovRustam	2699	0
EventGrandPrixThessaloniki	2013.05.30	2755	IvanchukVassily	SvidlerPeter	2769	0
EventGrandPrixThessaloniki	2013.06.01	2769	SvidlerPeter	GrischukAlexander	2779	0.5
EventGrandPrixThessaloniki	2013.06.01	2699	KasimdzhanovRustam	IvanchukVassily	2755	0.5
EventGrandPrixThessaloniki	2013.06.01	2775	NakamuraHikaru	PonomariovRuslan	2742	0.5
EventGrandPrixThessaloniki	2013.06.01	2725	BacrotEtienne	KamskyGata	2741	0.5
EventGrandPrixThessaloniki	2013.06.01	2760	MorozevichAlexander	TopalovVeselin	2793	0
EventGrandPrixThessaloniki	2013.06.01	2774	CaruanaFabiano	DominguezPerezLeinier	2723	0
